tracks/artist;tracks/album;tracks/track
The Front Bottoms;Talon of the Hawk;Everything I Own
The Color and Sound;Spring Tour EP;Graves
PVRIS;All We Know Of Heaven  All We Need Of Hell;Same Soul
The Wonder Years;The Greatest Generation;I Just Want To Sell Out My Funeral
All Time Low;Dirty Work;Just The Way I'm Not
Microwave;Death is a Warm Blanket;Pull
Ed Sheeran;÷;Supermarket Flowers
ROAM;Smile Wide;The Fire On The Ceiling
Ed Sheeran;5;So
Stand Atlantic;f.e.a.r.;bloodclot
The Walters;I Love You So;I Love You So
The Front Bottoms;Needy When I'm Needy;Tighten Up
Troye Sivan;"Revelation (From ""Boy Erased"")";"Revelation (From ""Boy Erased"")"
The Maine;Lovely Little Lonely;The Sound of Reverie
The Maine;You Are OK;Slip The Noose
Aaron West and The Roaring Twenties;We Don't Have Each Other;Going to Georgia
Knuckle Puck;Split - EP;Fences
Neck Deep;Life's Not Out To Get You;Serpents
Citizen;Open Your Heart;Open Your Heart
Can't Swim;This Too Won't Pass;What Have We Done?
Citizen;As You Please;Fever Days
Chase Petra;Josslyn;Pacific
Bantams;Archbishop;Terrible Times
The Maine;You Are OK;I Feel It All Over
Chapel;Sunday Brunch;Cindy White
The Maine;Can't Stop Won't Stop;I Must Be Dreaming
The Wonder Years;The Greatest Generation;The Devil in My Bloodstream
Em Beihold;Numb Little Bug;Numb Little Bug
Tiny Moving Parts;Celebrate;Good Enough
The Front Bottoms;In Sickness & In Flames;jerk
Ratwyfe;Mushroom Melancholia;Why Didn't I Kiss Her (The Useless Lesbian Song)
Simple Creatures;One Little Lie;One Little Lie
Hayley Kiyoko;This Side of Paradise - EP;Girls Like Girls
Kodaline;Coming Up for Air;The One
Billie Eilish;WHEN WE ALL FALL ASLEEP  WHERE DO WE GO?;xanny
The Front Bottoms;In Sickness & In Flames;everyone blooms
Frank Iero;Stomachaches;.weighted.
Boston Manor;Welcome to the Neighbourhood;Digital Ghost
The Maine;Black & White;Book of Me and You - Home Recording
New Found Glory;Sticks And Stones;Forget My Name
Troye Sivan;Bloom;Animal
Troye Sivan;Blue Neighbourhood;HEAVEN
Modern Baseball;You're Gonna Miss It All;Timmy Bowers
Billie Eilish;Happier Than Ever;Happier Than Ever
Tiny Moving Parts;breathe;Bloody Nose
Nothing But Thieves;Broken Machine (Deluxe);Amsterdam
Kodaline;Coming Up for Air;Honest - Acoustic
The Wombats;Glitterbug;The English Summer
The Front Bottoms;The Front Bottoms;Hooped Earings
The Maine;Forever Halloween (Deluxe Version);Take What You Can Carry
Neck Deep;Wishful Thinking;Crushing Grief (No Remedy)
AS IT IS;okay.;Curtains Close
State Champs;Real World;Real World
Harry Styles;Fine Line;Falling
Neck Deep;Life's Not Out To Get You;Threat Level Midnight
New Found Glory;Sticks And Stones;Understatement
Modern Baseball;Sports;Look Out
Matt Maeson;The Hearse;Put It on Me
Matt Maeson;Never Had to Leave;Waltz Right In
Basement;Beside Myself;Disconnect
Stand Atlantic;f.e.a.r.;switchblade
Frankie Cosmos;Next Thing;Fool
Boston Manor;Driftwood;Salt Water
The Maine;Pioneer & The Good Love;Identify
Chapel;Room Service;WOW
The Wonder Years;Sister Cities;Flowers Where Your Face Should Be
Billie Eilish;WHEN WE ALL FALL ASLEEP  WHERE DO WE GO?;goodbye
Have Mercy;The Earth Pushed Back;When I Sleep
Citizen;As You Please;Medicine
The Maine;Lovely Little Lonely;Lonely
BLOXX;Go Out With You;Go Out With You
Real Friends;The Home Inside My Head;Mess
Aaron West and The Roaring Twenties;We Don't Have Each Other;You Ain't No Saint
Neck Deep;Wishful Thinking;Damsel In Distress
Super Whatevr;don't you wanna be glad?;better.
State Champs;Kings of the New Age;Act Like That
My Chemical Romance;Three Cheers for Sweet Revenge;To the End
Sorority Noise;Joy  Departed;Using
Hot Freaks;Puppy Princess;Puppy Princess
The Maine;Lovely Little Lonely;Don't Come Down
Troye Sivan;Blue Neighbourhood;EASE
Ed Sheeran;5;She
Billie Eilish;WHEN WE ALL FALL ASLEEP  WHERE DO WE GO?;bad guy
Ed Sheeran;5;One Night
Panic! At The Disco;Too Weird to Live  Too Rare to Die!;Vegas Lights
The Front Bottoms;GDP & The Front Bottoms;Wolfman
Local News Legend;Split Peas;Neutral Spirit Hotel
All Time Low;Last Young Renegade;Ground Control (feat. Tegan and Sara)
Nothing But Thieves;Broken Machine (Deluxe);Afterlife
Modern Baseball;You're Gonna Miss It All;The Old Gospel Choir
Have Mercy;The Earth Pushed Back;Living Dead
Ed Sheeran;x;Runaway
Frank Iero;Stomachaches;Blood Infections
The Wombats;Beautiful People Will Ruin Your Life;Turn
Kodaline;Coming Up for Air;Coming Alive
The Front Bottoms;The Front Bottoms;Looking Like You Just Woke Up
Foals;What Went Down;Mountain at My Gates
Hot Milk;Split Personality;Split Personality
The Maine;Pioneer & The Good Love;Thinking of You
Cavetown;Animal Kingdom;Hug All Ur Friends
Jack Kays;MIXED EMOTIONS;MORBID MIND
All Time Low;Wake Up  Sunshine;Summer Daze (Seasons  Pt. 2)
Annie Blackman;All of It;Glitch
My Chemical Romance;The Black Parade;This Is How I Disappear
Stand Atlantic;f.e.a.r.;pity party (feat. Royal & the Serpent)
The Wombats;Proudly Present... A Guide to Love  Loss & Desperation;Little Miss Pipedream
Panic! At The Disco;Too Weird to Live  Too Rare to Die!;Nicotine
Human Petting Zoo;Human Petting Zoo Demo;Anxiety Song
Neck Deep;Rain In July / A History Of Bad Decisions;All Hype  No Heart
Ed Sheeran;x;I'm a Mess
The Maine;American Candy;Same Suit  Different Tie
Brick + Mortar;Bangs;No I Won't Go
blink-182;blink-182;I Miss You
Modern Baseball;Holy Ghost;Holy Ghost
Modern Baseball;You're Gonna Miss It All;Apartment
PVRIS;White Noise;Ghosts
Wild Party;Phantom Pop;OutRight
Matt Maeson;The Hearse;Unconditional
The Wrecks;Infinitely Ordinary;Freaking Out
The Wonder Years;Suburbia I've Given You All and Now I'm Nothing (Deluxe Version);And Now I'm Nothing
State Champs;Around the World and Back;Eyes Closed
Boston Manor;Driftwood;Driftwood
Citizen;Youth;The Night I Drove Alone
Hayley Kiyoko;Expectations;Curious
Microwave;Death is a Warm Blanket;DIAWB
My Chemical Romance;The Black Parade;Disenchanted
The Wonder Years;No Closer To Heaven;I Wanted So Badly to be Brave
Foals;What Went Down;Birch Tree
The Maine;XOXO: From Love & Anxiety In Real Time;Lips
Tigers Jaw;Charmer;Frame You
Real Friends;Put Yourself Back Together;Late Nights in My Car
Real Friends;Put Yourself Back Together;Lost Boy
Chase Petra;Liminal;Laws of Physics
The Wombats;Beautiful People Will Ruin Your Life;Out of My Head
Knuckle Puck;The Weight That You Buried;Your Back Porch
Stand Atlantic;Pink Elephant;Shh!
The Maine;XOXO: From Love & Anxiety In Real Time;If Your Light Goes Out
My Chemical Romance;Three Cheers for Sweet Revenge;It's Not a Fashion Statement  It's a Deathwish
New Found Glory;Resurrection: Ascension;Angel
Nothing But Thieves;Nothing But Thieves;Ban All the Music
The Front Bottoms;Ann;Somebody Else
The Maine;Forever Halloween (Deluxe Version);Birthday in Los Angeles
Real Friends;Acoustic Songs;Anchor Down (Acoustic)
Basement;Promise Everything;Halo
All Time Low;Future Hearts;Bail Me Out (feat. Joel Madden)
The Maine;Black & White;Give It to Me
YUNGBLUD;weird!;strawberry lipstick
Boston Manor;Welcome to the Neighbourhood;Flowers in Your Dustbin
Kodaline;In A Perfect World (Deluxe);Brand New Day
Now; Now;Threads
Real Friends;Composure;Me First
Tiny Moving Parts;Swell;It's Too Cold Tonight
All Time Low;Put Up Or Shut Up (Deluxe Version);Break Out! Break Out!
The Maine;Pioneer & The Good Love;While Listening to Rock & Roll ...
Knuckle Puck;Calendar Days/Indecisve;Indecisive
Matt Maeson;Who Killed Matt Maeson;Grave Digger
The Front Bottoms;The Front Bottoms;Swimming Pool
The Wonder Years;No Closer To Heaven;The Bluest Things on Earth
My Chemical Romance;The Black Parade;Sleep
AS IT IS;The Great Depression;The Great Depression
Steph Barrak;Words to Break Your Heart;Robot
YUNGBLUD;weird!;love song
YUNGBLUD;21st Century Liability;I Love You  Will You Marry Me
All Time Low;Wake Up  Sunshine;Pretty Venom (Interlude)
Tigers Jaw;Charmer;Soft Spoken
Tigers Jaw;Charmer;Cool
Neck Deep;Rain In July / A History Of Bad Decisions;What Did You Expect?
YUNGBLUD;cotton candy;cotton candy
New Found Glory;Resurrection: Ascension;Persistent (Acoustic)
The Wonder Years;Suburbia I've Given You All and Now I'm Nothing (Deluxe Version);I've Given You All
Queen;A Night At The Opera;'39 - Remastered 2011
Basement;Colourmeinkindness;Black
The Wonder Years;Sister Cities;Heaven's Gate (Sad & Sober)
Knuckle Puck;Shapeshifter;Everyone Lies To Me
Troye Sivan;Bloom;Animal
Boston Manor;Driftwood;Square One
The Eskies;After the Sherry Went Round;Down By the River
The Wonder Years;Suburbia I've Given You All and Now I'm Nothing (Deluxe Version);Don't Let Me Cave In (Nervous Energies)
Airways;Blue Gasoline;Blue Gasoline
Cavetown;Animal Kingdom;Self Control
The Eskies;After the Sherry Went Round;Jailhouse Sun (Bonus Track)
Modern Baseball;You're Gonna Miss It All;Going To Bed Now
State Champs;Kings of the New Age;Just Sound
All Time Low;Dirty Work;Forget About It
Citizen;As You Please;Ugly Luck
The Wombats;Proudly Present... A Guide to Love  Loss & Desperation;Let's Dance to Joy Division
Matt Maeson;Bank On The Funeral;Cringe
Modern Baseball;Holy Ghost;Hiding
The Wombats;Beautiful People Will Ruin Your Life;Lethal Combination
Have Mercy;A Place of Our Own;Pawn Takes Rook
Troye Sivan;Love  Simon (Original Motion Picture Soundtrack);Strawberries & Cigarettes
All Time Low;Nothing Personal;Hello  Brooklyn
All Time Low;Put Up Or Shut Up (Deluxe Version);Jasey Rae
The Front Bottoms;Voodoo Magic;Voodoo Magic
YUNGBLUD;21st Century Liability;Psychotic Kids
My Chemical Romance;Danger Days: The True Lives of the Fabulous Killjoys;DESTROYA
Who's Molly?;Until I Found You;Until I Found You
Kodaline;In A Perfect World (Deluxe);Perfect World
AS IT IS;Songs That Saved My Life;Such Great Heights
Boston Manor;Driftwood;Peach State
The Front Bottoms;In Sickness & In Flames;montgomery forever
ROAM;Great Heights & Nosedives;Scatterbrained
The Wonder Years;Sister Cities;It Must Get Lonely
Neck Deep;Wishful Thinking;Sweet Nothings
Citizen;Youth;Your Head Got Misplaced
easy life;see you later maybe never;peanut butter
Fall Out Boy;Folie à Deux;27
Bright Eyes;I'm Wide Awake  It's Morning;First Day Of My Life
AS IT IS;The Great Depression;The Haunting
State Champs;Living Proof;Time Machine
All Time Low;Dirty Work;Do You Want Me (Dead?)
Kodaline;In A Perfect World (Deluxe);All Comes Down
Modern Baseball;Sports;Play Ball!
Cistem Failure;Resilience;Mountains
Cistem Failure;Resilience;Anywhere but Here
Frank Iero;Stomachaches;All I Want Is Nothing
All Time Low;Don't Panic: It's Longer Now!;To Live and Let Go
AS IT IS;Never Happy  Ever After;My Oceans Were Lakes
The Wonder Years;The Greatest Generation;Dismantling Summer
Aaron West and The Roaring Twenties;We Don't Have Each Other;Grapefruit
State Champs;Apparently  I'm Nothing;Shades of Gray
The Wonder Years;Suburbia I've Given You All and Now I'm Nothing (Deluxe Version);Living Room Song
Knuckle Puck;Split - EP;Gold Rush
All Time Low;Don't Panic: It's Longer Now!;Somewhere in Neverland
Chase Petra;Liminal;Monet Issues
Modern Baseball;You're Gonna Miss It All;Broken Cash Machine
All Time Low;Last Young Renegade;Nice2KnoU
All Time Low;Dirty Work;I Feel Like Dancin'
The Wombats;Glitterbug;Flowerball
Young Rising Sons;SAD / Scatterbrain;SAD (Clap Your Hands)
The Front Bottoms;Back on Top;Plastic Flowers
Real Friends;Composure;Stand Steady
Can't Swim;Fail You Again;One Shot
The Maine;Can't Stop Won't Stop;Kiss And Sell
Blue Foster;IDK If I'm a Boy;IDK If I'm a Boy
WRENN;All My Friends;All My Friends
Ed Sheeran;x;Parting Glass - Live at Wembley Stadium
The Wombats;Glitterbug;Isabel
Tigers Jaw;spin;Guardian
Hayley Kiyoko;Expectations;Feelings
Syd Matters;Obstacles;Obstacles
Real Friends;Maybe This Place Is The Same And We're Just Changing;Maybe This Place Is The Same…
Weathers;Kids In The Night;I'm Not Ok
The Brobecks;Violent Things;Love At First Sight
Fall Out Boy;Folie à Deux;The (Shipped) Gold Standard
Ren;How to Be Me;How to Be Me
Panic! At The Disco;Pretty. Odd.;Nine in the Afternoon - Single Mix
Harry Styles;Harry Styles;Woman
Citizen;Everybody Is Going To Heaven;Weave Me (Into Yr Sin)
YUNGBLUD;21st Century Liability;Medication
Christopher Fitzgerald;Waitress (Original Broadway Cast Recording);Never Ever Getting Rid of Me
New Found Glory;Sticks And Stones;It's Been A Summer
The Front Bottoms;Rose;Twelve Feet Deep
Ed Sheeran;x;One
All Time Low;Future Hearts;Kicking & Screaming
Frank Iero;Stomachaches;Guilt Tripping
Frank Iero;Stomachaches;Neverenders
The Eskies;And Don't Spare The Horses;And Don't Spare The Horses
Real Friends;Everyone That Dragged You Here;Floorboards
Crawlers;Crawlers - EP;Come Over (Again)
Nothing But Thieves;Broken Machine (Deluxe);Soda
ROAM;Smile Wide;Better In Than Out
The Wonder Years;The Upsides (Deluxe Edition);Hey Thanks
Modern Baseball;You're Gonna Miss It All;Two Good Things
Basement;Beside Myself;Just A Life
Ratwyfe;Mushroom Melancholia;Rupaul Was Right
Danger Dan;Das ist alles von der Kunstfreiheit gedeckt;Das ist alles von der Kunstfreiheit gedeckt
